2026-02-07 10:22:20.138 | [a8ab2c3b-6548-40f5-9abf-cbe07063d372] | a8ab2c3b-6548-40f5-9abf-cbe07063d372|method=POST|path=/api/auth/login|status=200|duration=1968ms|category=SLOW
2026-02-07 10:22:20.406 | [2bb92e4b-c59d-4fa8-8551-88abe25bee74] | 2bb92e4b-c59d-4fa8-8551-88abe25bee74|method=GET|path=/api/alerts/stream|status=200|duration=90ms|category=FAST
2026-02-07 10:22:20.612 | [a21911b8-5c07-4e14-acdd-c169e7374099] | a21911b8-5c07-4e14-acdd-c169e7374099|method=GET|path=/api/alerts|status=200|duration=363ms|category=FAST
2026-02-07 10:22:21.160 | [23c5a81b-e76c-447f-9ffe-5e8035f24fa0] | 23c5a81b-e76c-447f-9ffe-5e8035f24fa0|method=GET|path=/api/dashboard/comprehensive|status=200|duration=844ms|category=MEDIUM
2026-02-07 10:22:31.548 | [789a064b-0a59-4945-9ac1-4c99cd9a2875] | 789a064b-0a59-4945-9ac1-4c99cd9a2875|method=GET|path=/api/users|status=200|duration=49ms|category=FAST
2026-02-07 10:22:31.702 | [94a015e7-05b2-4fee-9499-e025eee7ea5a] | 94a015e7-05b2-4fee-9499-e025eee7ea5a|method=GET|path=/api/daybook/by-date|status=200|duration=202ms|category=FAST
2026-02-07 10:22:31.868 | [f2aeb878-937e-44b2-960d-d9616ceb8aff] | f2aeb878-937e-44b2-960d-d9616ceb8aff|method=GET|path=/api/daybook/summary|status=200|duration=123ms|category=FAST
2026-02-07 10:24:19.319 | [d6202df8-967f-42eb-86a1-2213c547adc0] | d6202df8-967f-42eb-86a1-2213c547adc0|method=GET|path=/api/warehouses/active|status=200|duration=54ms|category=FAST
2026-02-07 10:24:19.327 | [f5a1ddbc-40e6-48a1-ac81-71eba4d87771] | f5a1ddbc-40e6-48a1-ac81-71eba4d87771|method=GET|path=/api/variants/active/list|status=200|duration=79ms|category=FAST
2026-02-07 10:24:19.353 | [d1bbafb2-0f34-4168-af22-b29450cab059] | d1bbafb2-0f34-4168-af22-b29450cab059|method=GET|path=/api/payment-modes/active|status=200|duration=89ms|category=FAST
2026-02-07 10:24:19.407 | [41da5a0f-7b95-498d-86da-8a1374df4662] | 41da5a0f-7b95-498d-86da-8a1374df4662|method=GET|path=/api/bank-accounts/active/list|status=200|duration=35ms|category=FAST
2026-02-07 10:24:19.472 | [219da31f-4805-41e7-948d-be33fda56289] | 219da31f-4805-41e7-948d-be33fda56289|method=GET|path=/api/customers/active/list|status=200|duration=230ms|category=FAST
2026-02-07 10:26:59.201 | [446bd471-2b57-4367-8ae2-55f30ab88ca1] | 446bd471-2b57-4367-8ae2-55f30ab88ca1|method=GET|path=/api/alerts|status=200|duration=18ms|category=FAST
2026-02-07 10:26:59.455 | [3eea4da5-2df1-48f0-88dc-4b958c24ec2c] | 3eea4da5-2df1-48f0-88dc-4b958c24ec2c|method=GET|path=/api/alerts/stream|status=200|duration=2ms|category=FAST
2026-02-07 10:27:00.578 | [d61c93c8-4de4-4279-9079-99b12be6d7a5] | d61c93c8-4de4-4279-9079-99b12be6d7a5|method=GET|path=/api/variants/active/list|status=200|duration=17ms|category=FAST
2026-02-07 10:27:00.685 | [11ccb67c-46d9-46f4-ad9e-4ccc31099222] | 11ccb67c-46d9-46f4-ad9e-4ccc31099222|method=GET|path=/api/bank-accounts/active/list|status=200|duration=65ms|category=FAST
2026-02-07 10:27:00.693 | [09ce6f99-308a-45bb-8965-d3262f2c5124] | 09ce6f99-308a-45bb-8965-d3262f2c5124|method=GET|path=/api/payment-modes/active|status=200|duration=14ms|category=FAST
